 
 image index,detector type, total # of keypoints, descriptor type, TTC Lidar, TTC Camera
0,HARRIS,115,BRIEF,
11,FAST,5351,ORB,11.968197,nan,
12,FAST,5244,ORB,9.887113,nan,
13,FAST,5231,ORB,9.425037,nan,
14,FAST,5286,ORB,9.302148,nan,
15,FAST,5464,ORB,8.321200,nan,
16,FAST,5464,ORB,8.898673,nan,
17,FAST,5563,ORB,11.030114,nan,
18,FAST,5497,ORB,8.535568,nan,

 
 image index,detector type, total # of keypoints, descriptor type, TTC Lidar, TTC Camera
0,FAST,5275,FREAK,
1,FAST,5291,FREAK,12.289100,nan,
2,FAST,5202,FREAK,13.354725,nan,
3,FAST,5090,FREAK,16.384452,nan,
4,FAST,5118,FREAK,14.076445,nan,
5,FAST,5180,FREAK,12.729945,nan,
6,FAST,5192,FREAK,13.751074,nan,
7,FAST,5177,FREAK,13.731432,nan,
8,FAST,5176,FREAK,13.790126,nan,
9,FAST,5225,FREAK,12.058994,nan,
10,FAST,5331,FREAK,11.864185,nan,
11,FAST,5351,FREAK,11.968197,nan,
12,FAST,5244,FREAK,9.887113,nan,
13,FAST,5231,FREAK,9.425037,nan,
14,FAST,5286,FREAK,9.302148,nan,
15,FAST,5464,FREAK,8.321200,nan,
16,FAST,5464,FREAK,8.898673,nan,
17,FAST,5563,FREAK,11.030114,nan,
18,FAST,5497,FREAK,8.535568,nan,

 
 image index,detector type, total # of keypoints, descriptor type, TTC Lidar, TTC Camera
0,FAST,5275,AKAZE, 
 image index,detector type, total # of keypoints, descriptor type, TTC Lidar, TTC Camera
0,FAST,5275,SIFT,
1,FAST,5291,SIFT,12.289100,-inf,
2,FAST,5202,SIFT,13.354725,-inf,
3,FAST,5090,SIFT,16.384452,nan,
4,FAST,5118,SIFT,14.076445,-inf,
5,FAST,5180,SIFT,12.729945,-inf,
6,FAST,5192,SIFT,13.751074,-inf,
7,FAST,5177,SIFT,13.731432,nan,
8,FAST,5176,SIFT,13.790126,-inf,
9,FAST,5225,SIFT,12.058994,-inf,
10,FAST,5331,SIFT,11.864185,19.132293,
11,FAST,5351,SIFT,11.968197,nan,
12,FAST,5244,SIFT,9.887113,12.238597,
13,FAST,5231,SIFT,9.425037,nan,
14,FAST,5286,SIFT,9.302148,nan,
15,FAST,5464,SIFT,8.321200,nan,
16,FAST,5464,SIFT,8.898673,nan,
17,FAST,5563,SIFT,11.030114,nan,
18,FAST,5497,SIFT,8.535568,-inf,

 
 image index,detector type, total # of keypoints, descriptor type, TTC Lidar, TTC Camera
0,BRISK,2896,BRIEF,
1,BRISK,3000,BRIEF,12.289100,nan,
2,BRISK,2974,BRIEF,13.354725,nan,
3,BRISK,2953,BRIEF,16.384452,nan,
4,BRISK,2855,BRIEF,14.076445,nan,
5,BRISK,2906,BRIEF,12.729945,nan,
6,BRISK,2886,BRIEF,13.751074,nan,
7,BRISK,2886,BRIEF,13.731432,nan,
8,BRISK,2893,BRIEF,13.790126,nan,
9,BRISK,2930,BRIEF,12.058994,nan,
10,BRISK,3022,BRIEF,11.864185,nan,
11,BRISK,3013,BRIEF,11.968197,nan,
12,BRISK,2949,BRIEF,9.887113,nan,
13,BRISK,3012,BRIEF,9.425037,nan,
14,BRISK,3026,BRIEF,9.302148,3.505702,
15,BRISK,3074,BRIEF,8.321200,nan,
16,BRISK,3131,BRIEF,8.898673,nan,
17,BRISK,3135,BRIEF,11.030114,nan,
18,BRISK,3146,BRIEF,8.535568,nan,

 
 image index,detector type, total # of keypoints, descriptor type, TTC Lidar, TTC Camera
0,BRISK,2896,ORB,
1,BRISK,3000,ORB,12.289100,nan,
2,BRISK,2974,ORB,13.354725,nan,
3,BRISK,2953,ORB,16.384452,nan,
4,BRISK,2855,ORB,14.076445,nan,
5,BRISK,2906,ORB,12.729945,nan,
6,BRISK,2886,ORB,13.751074,nan,
7,BRISK,2886,ORB,13.731432,nan,
8,BRISK,2893,ORB,13.790126,nan,
9,BRISK,2930,ORB,12.058994,nan,
10,BRISK,3022,ORB,11.864185,nan,
11,BRISK,3013,ORB,11.968197,nan,
12,BRISK,2949,ORB,9.887113,nan,
13,BRISK,3012,ORB,9.425037,nan,
14,BRISK,3026,ORB,9.302148,nan,
15,BRISK,3074,ORB,8.321200,nan,
16,BRISK,3131,ORB,8.898673,nan,
17,BRISK,3135,ORB,11.030114,nan,
18,BRISK,3146,ORB,8.535568,nan,

 
 image index,detector type, total # of keypoints, descriptor type, TTC Lidar, TTC Camera
0,BRISK,2896,FREAK,
1,BRISK,3000,FREAK,12.289100,-0.201019,
2,BRISK,2974,FREAK,13.354725,-0.201749,
3,BRISK,2953,FREAK,16.384452,nan,
4,BRISK,2855,FREAK,14.076445,nan,
5,BRISK,2906,FREAK,12.729945,nan,
6,BRISK,2886,FREAK,13.751074,nan,
7,BRISK,2886,FREAK,13.731432,nan,
8,BRISK,2893,FREAK,13.790126,nan,
9,BRISK,2930,FREAK,12.058994,19.793302,
10,BRISK,3022,FREAK,11.864185,nan,
11,BRISK,3013,FREAK,11.968197,nan,
12,BRISK,2949,FREAK,9.887113,nan,
13,BRISK,3012,FREAK,9.425037,nan,
14,BRISK,3026,FREAK,9.302148,11.583654,
15,BRISK,3074,FREAK,8.321200,16.312924,
16,BRISK,3131,FREAK,8.898673,nan,
17,BRISK,3135,FREAK,11.030114,nan,
18,BRISK,3146,FREAK,8.535568,nan,

 
 image index,detector type, total # of keypoints, descriptor type, TTC Lidar, TTC Camera
0,BRISK,2896,AKAZE, 
 image index,detector type, total # of keypoints, descriptor type, TTC Lidar, TTC Camera
0,BRISK,2896,SIFT,
1,BRISK,3000,SIFT,12.289100,-0.198403,
